;Ordinal Logit;Ordinal Logit;Ordinal Logit;Unimodal;Unimodal;Unimodal;Zero-trunc Unimodal;Zero-trunc Unimodal;Zero-trunc Unimodal
names;values;rob_stdErr;rob_tTest;values;rob_stdErr;rob_tTest;values;rob_stdErr;rob_tTest
ASC_fatal;;;;0.787525209;0.109485253;7.19297978;0.319295494;0.110536378;2.888601031
ASC_incap;;;;2.448834118;0.056251937;43.53332943;1.906936141;0.053649581;35.54428752
ASC_nonincap;;;;4.116998466;0.03928511;104.797937;3.446302846;0.035408494;97.32983432
ASC_possinjury;;;;3.67292303;0.039153025;93.80943104;2.451901271;0.035926223;68.24823313
acc_leftturn;-0.27617923;0.047748479;-5.78404244;-0.318131133;0.038472472;-8.269058836;-0.382869054;0.051958533;-7.368742494
acc_rearend;-0.784537957;0.049252676;-15.92883916;-0.850831703;0.038698344;-21.986256;-1.129627663;0.056200042;-20.10012116
acc_sides;-1.294390111;0.062745923;-20.62907112;-1.209055784;0.040679764;-29.72130737;-1.745183133;0.067231282;-25.9579034
action_lanes;-0.617891237;0.101599868;-6.081614572;-0.926260449;0.073250969;-12.64502659;-1.390382817;0.108052116;-12.86770559
action_slowing;-0.915160262;0.101643513;-9.003626871;-1.179651699;0.080105606;-14.72620648;-1.82862058;0.113011657;-16.18081378
action_straight;-0.829892741;0.047856297;-17.34134875;-1.265467948;0.033617341;-37.64330847;-1.897287387;0.053633065;-35.37533034
action_turn;-1.041049761;0.055046383;-18.91222833;-1.479987205;0.037273517;-39.7061326;-2.176253239;0.058847583;-36.98118316
age;-0.008211583;0.000806351;-10.1836321;-0.015473831;0.000677669;-22.83389429;-0.017327814;0.000944266;-18.35056303
alcohol;0.383802986;0.076453555;5.02008034;0.378876303;0.081921938;4.624845433;0.523972002;0.106534024;4.918353595
cause_distraction;0.080009548;0.07898644;1.012952951;-0.286545013;0.060338498;-4.748958301;-0.248525604;0.087803702;-2.830468396
cause_following;-0.185429507;0.070054016;-2.646950426;-0.389602118;0.05383574;-7.236867466;-0.455495527;0.078674516;-5.789619677
cause_signal;-0.41198796;0.070201709;-5.868631512;-0.798633698;0.061703105;-12.94316874;-0.947892323;0.079754605;-11.88511092
cause_speeding;-0.026643784;0.049062865;-0.543053982;-0.271121325;0.039986234;-6.78036653;-0.280035705;0.05804582;-4.824390538
cause_turn;-0.153089386;0.083565943;-1.831959058;-0.354645246;0.058615488;-6.050367528;-0.411258388;0.089197618;-4.610643159
cause_unsafe;-0.491519702;0.102166774;-4.810954502;-0.473463143;0.067778662;-6.985430644;-0.685953372;0.102745824;-6.67621655
cause_yield;-0.107800872;0.052882734;-2.038489017;-0.340544219;0.041704953;-8.165558072;-0.399832804;0.058935471;-6.784247164
hour_afternoon;-0.363320695;0.031114973;-11.67671561;-0.703246228;0.026695648;-26.34310394;-0.753391735;0.035144471;-21.43699173
hour_night;-0.333329501;0.047067294;-7.081977215;-0.428497908;0.041450776;-10.33751223;-0.485314519;0.055924112;-8.678090761
light_darklighted;-0.347487488;0.04753467;-7.310190408;-0.637983538;0.040167157;-15.8832135;-0.708588628;0.055736587;-12.71316861
light_darknotlighted;-0.66343456;0.19359846;-3.426858654;-0.906000762;0.154714512;-5.855952045;-1.130405162;0.242905037;-4.653691727
meteo_cloudy;-0.172457225;0.0694107;-2.484591356;-0.176703412;0.067535595;-2.616448589;-0.211050741;0.090527106;-2.331354122
meteo_rain;-0.054008651;0.151571013;-0.356325725;-0.16670059;0.133036027;-1.253048473;-0.124158312;0.18950796;-0.655161463
nonintersection;-0.315720191;0.029636389;-10.65312634;-0.669545854;0.026058288;-25.69416097;-0.690994296;0.034424876;-20.07252828
surf_wet;-0.183343993;0.134374006;-1.36443051;-0.199424909;0.119318017;-1.671372983;-0.305499324;0.168978733;-1.807915819
total_injuries;2.658930486;0.042297784;62.86216921;3.551201481;0.051101392;69.49324365;3.789143889;0.065097967;58.20679256
type_cyclist;1.459884255;0.08237636;17.72212622;0.618860059;0.117010292;5.288936973;0.804249612;0.128363608;6.265402023
type_driverless;-0.520287505;0.355246715;-1.464580764;-1.478125839;0.193697661;-7.631098036;-1.744148773;0.331148177;-5.266973802
type_pedestrian;1.596201118;0.208454277;7.657320073;3.837879322;0.472530851;8.121965604;3.066041537;0.505540102;6.064882939
tau1;0;0.052997859;0;;;;;;
delta2;2.610904133;0.038332968;68.11119191;;;;;;
delta3;3.310469988;0.083606348;39.59591676;;;;;;
delta4;2.302722469;0.15371918;14.98005956;;;;;;
